?item	?enLabel	?faLabel	?enDescription	?faDescription	?enWikipediaUrl	?faWikipediaUrl
<http://www.wikidata.org/entity/Q71486>	"instructions per second"@en	"دستورالعمل بر ثانیه"@fa	"measure of a computer's processing speed"@en		<https://en.wikipedia.org/wiki/instructions%20per%20second>	<https://fa.wikipedia.org/wiki/%D8%AF%D8%B3%D8%AA%D9%88%D8%B1%D8%A7%D9%84%D8%B9%D9%85%D9%84%20%D8%A8%D8%B1%20%D8%AB%D8%A7%D9%86%DB%8C%D9%87>
<http://www.wikidata.org/entity/Q71746>	"Trachtenberg system"@en	"روش تراختنبرگ"@fa	"system of rapid mental calculation"@en		<https://en.wikipedia.org/wiki/Trachtenberg%20system>	<https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B4%20%D8%AA%D8%B1%D8%A7%D8%AE%D8%AA%D9%86%D8%A8%D8%B1%DA%AF>
<http://www.wikidata.org/entity/Q74304>	"least squares method"@en	"کمترین مربعات"@fa	"approximation method in statistics"@en		<https://en.wikipedia.org/wiki/least%20squares%20method>	<https://fa.wikipedia.org/wiki/%DA%A9%D9%85%D8%AA%D8%B1%DB%8C%D9%86%20%D9%85%D8%B1%D8%A8%D8%B9%D8%A7%D8%AA>
<http://www.wikidata.org/entity/Q79798>	"machine translation"@en	"ترجمه ماشینی"@fa	"use of software for language translation"@en		<https://en.wikipedia.org/wiki/machine%20translation>	<https://fa.wikipedia.org/wiki/%D8%AA%D8%B1%D8%AC%D9%85%D9%87%20%D9%85%D8%A7%D8%B4%DB%8C%D9%86%DB%8C>
<http://www.wikidata.org/entity/Q79798>	"machine translation"@en	"ترجمه ماشینی"@fa	"use of software for language translation"@en		<https://en.wikipedia.org/wiki/machine%20translation>	<https://fa.wikipedia.org/wiki/%D8%AA%D8%B1%D8%AC%D9%85%D9%87%20%D9%85%D8%A7%D8%B4%DB%8C%D9%86%DB%8C>
<http://www.wikidata.org/entity/Q79798>	"machine translation"@en	"ترجمه ماشینی"@fa	"use of software for language translation"@en		<https://en.wikipedia.org/wiki/machine%20translation>	<https://fa.wikipedia.org/wiki/%D8%AA%D8%B1%D8%AC%D9%85%D9%87%20%D9%85%D8%A7%D8%B4%DB%8C%D9%86%DB%8C>
<http://www.wikidata.org/entity/Q80006>	"computer programming"@en	"برنامهنویسی"@fa	"the process of designing and building an executable computer program to accomplish a specific computing result or to perform a specific task"@en	"برنامهنویسی رایانه"@fa	<https://en.wikipedia.org/wiki/computer%20programming>	<https://fa.wikipedia.org/wiki/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87%D9%86%D9%88%DB%8C%D8%B3%DB%8C>
<http://www.wikidata.org/entity/Q80993>	"software engineering"@en	"مهندسی نرمافزار"@fa	"application on systematic approaches to developing software"@en	"تولید و ارائه نرم افزارهای کاربردی"@fa	<https://en.wikipedia.org/wiki/software%20engineering>	<https://fa.wikipedia.org/wiki/%D9%85%D9%87%D9%86%D8%AF%D8%B3%DB%8C%20%D9%86%D8%B1%D9%85%D8%A7%D9%81%D8%B2%D8%A7%D8%B1>
<http://www.wikidata.org/entity/Q83886>	"Viterbi algorithm"@en	"الگوریتم ویتربی"@fa	"algorithm"@en		<https://en.wikipedia.org/wiki/Viterbi%20algorithm>	<https://fa.wikipedia.org/wiki/%D8%A7%D9%84%DA%AF%D9%88%D8%B1%DB%8C%D8%AA%D9%85%20%D9%88%DB%8C%D8%AA%D8%B1%D8%A8%DB%8C>
<http://www.wikidata.org/entity/Q93593>	"common subexpression elimination"@en	"حذف عبارتهای مشترک"@fa	"compiler optimization"@en		<https://en.wikipedia.org/wiki/common%20subexpression%20elimination>	<https://fa.wikipedia.org/wiki/%D8%AD%D8%B0%D9%81%20%D8%B9%D8%A8%D8%A7%D8%B1%D8%AA%D9%87%D8%A7%DB%8C%20%D9%85%D8%B4%D8%AA%D8%B1%DA%A9>
<http://www.wikidata.org/entity/Q93695>	"multiversion concurrency control"@en	"کنترل همروندی چندنسخهای"@fa	"concurrency control method commonly used by database management systems"@en		<https://en.wikipedia.org/wiki/multiversion%20concurrency%20control>	<https://fa.wikipedia.org/wiki/%DA%A9%D9%86%D8%AA%D8%B1%D9%84%20%D9%87%D9%85%D8%B1%D9%88%D9%86%D8%AF%DB%8C%20%DA%86%D9%86%D8%AF%D9%86%D8%B3%D8%AE%D9%87%D8%A7%DB%8C>
<http://www.wikidata.org/entity/Q94702>	"collaborative filtering"@en	"پالایش گروهی"@fa	"algorithm"@en		<https://en.wikipedia.org/wiki/collaborative%20filtering>	<https://fa.wikipedia.org/wiki/%D9%BE%D8%A7%D9%84%D8%A7%DB%8C%D8%B4%20%DA%AF%D8%B1%D9%88%D9%87%DB%8C>
<http://www.wikidata.org/entity/Q103632>	"chess opening"@en	"گشایش"@fa	"series of moves used to start a chess game"@en		<https://en.wikipedia.org/wiki/chess%20opening>	<https://fa.wikipedia.org/wiki/%DA%AF%D8%B4%D8%A7%DB%8C%D8%B4>
<http://www.wikidata.org/entity/Q107415>	"Group decision support systems"@en	"سامانه پشتیبانی تصمیمگیری گروه"@fa			<https://en.wikipedia.org/wiki/Group%20decision%20support%20systems>	<https://fa.wikipedia.org/wiki/%D8%B3%D8%A7%D9%85%D8%A7%D9%86%D9%87%20%D9%BE%D8%B4%D8%AA%DB%8C%D8%A8%D8%A7%D9%86%DB%8C%20%D8%AA%D8%B5%D9%85%DB%8C%D9%85%DA%AF%DB%8C%D8%B1%DB%8C%20%DA%AF%D8%B1%D9%88%D9%87>
<http://www.wikidata.org/entity/Q107415>	"Group decision support systems"@en	"سامانه پشتیبانی تصمیمگیری گروه"@fa			<https://en.wikipedia.org/wiki/Group%20decision%20support%20systems>	<https://fa.wikipedia.org/wiki/%D8%B3%D8%A7%D9%85%D8%A7%D9%86%D9%87%20%D9%BE%D8%B4%D8%AA%DB%8C%D8%A8%D8%A7%D9%86%DB%8C%20%D8%AA%D8%B5%D9%85%DB%8C%D9%85%DA%AF%DB%8C%D8%B1%DB%8C%20%DA%AF%D8%B1%D9%88%D9%87>
<http://www.wikidata.org/entity/Q107415>	"Group decision support systems"@en	"سامانه پشتیبانی تصمیمگیری گروه"@fa			<https://en.wikipedia.org/wiki/Group%20decision%20support%20systems>	<https://fa.wikipedia.org/wiki/%D8%B3%D8%A7%D9%85%D8%A7%D9%86%D9%87%20%D9%BE%D8%B4%D8%AA%DB%8C%D8%A8%D8%A7%D9%86%DB%8C%20%D8%AA%D8%B5%D9%85%DB%8C%D9%85%DA%AF%DB%8C%D8%B1%DB%8C%20%DA%AF%D8%B1%D9%88%D9%87>
